url;query;clicks;impressions;position;title_optimized;h1_optimized;h2_optimized;meta_description_optimized;content_optimized;overall_optimized;search_volume;keyword_difficulty;cpc
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;what type of knee brace is best for torn acl support;7;677;8.273.264.401.772.520;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;best knee brace for acl injury;5;176;821.590.909.090.909;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-leg-recovery-sleeve;leg recovery sleeves;6;4290;8.093.706.293.706.290;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;knee brace for acl tear;5;1315;10.118.631.178.707.200;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-brace-for-new-product-page;jiu jitsu knee brace;8;771;11.826.199.740.596.600;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;best knee brace for acl tear;9;443;8.054.176.072.234.760;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace to prevent dislocation during sports;10;655;8.644.274.809.160.300;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-brace-for-new-product-page;bjj knee brace;10;1215;10.807.407.407.407.400;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace;310;63435;10.375.581.303.696.600;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-recovery-pro;best knee recovery device;5;128;965.625;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anacondakneebrace;knee brace;19;15365;14.177.806.703.547.000;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder stabilizer;7;2252;952.664.298.401.421;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder support brace;9;638;804.075.235.109.718;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;baseball shoulder brace;5;648;8.518.518.518.518.510;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-recovery-pro;knee heater recovery;5;24;15.666.666.666.666.600;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anacondakneebrace;best bjj knee brace;11;283;13.063.604.240.282.600;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;ac joint shoulder brace;6;339;879.646.017.699.115;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder brace australia;9;260;9.1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;kinetic shoulder brace;5;399;8.709.273.182.957.390;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder brace for rotator cuff;14;578;9.747.404.844.290.650;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder strap support;6;1235;8.006.477.732.793.520;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anacondakneebrace;wrestling knee sleeve;11;997;9.079.237.713.139.410;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anacondakneebrace;knee brace wrestling;8;593;8.084.317.032.040.470;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder compression sleeve;7;580;8.687.931.034.482.750;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder brace for women;8;787;9.256.670.902.160.100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;ac joint brace;5;606;10.151.815.181.518.100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace for rotator cuff injury;5;699;10.494.992.846.924.100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace for rotator cuff;5;1290;10.610.077.519.379.800;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder compression sleeve;7;1277;12.007.047.768.206.700;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder support brace;27;8305;10.532.209.512.341.900;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder brace for rotator cuff injury;33;2350;9.814.893.617.021.270;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace for labrum tear;5;409;8.459.657.701.711.490;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;best shoulder brace for labrum tear;7;526;1.161.977.186.311.780;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
